time_s,gray,reference_power
0.5175687999999354,99,6725724.0
9.44939179999892,99,6703881.0
18.389470099999016,99,6689904.0
27.2329565,99,6669888.0
36.2118516999999,99,6647460.0
45.11674049999965,99,6613448.0
54.00876679999965,99,6604620.0
62.90871580000021,99,6593441.0
71.80576719999954,99,6571364.0
80.71937929999876,99,6534392.0
89.6915896999999,99,6507098.0
98.58782309999879,99,6485041.0
107.50416669999868,99,6457186.0
116.39051669999935,99,6430170.0
125.31557780000003,99,6399299.0
134.246676499999,99,6368170.0
143.14064510000026,99,6335483.0
